Course,Course Title,Description,prerequisites,preq_notes
Anthropology,"ANTH 3135 Feasting, Fasting and Food: The Anthropology of Food  (4 Credits)","feasting, fasting and food focuses on foodways and food culture. food and its acquisition and preparation are tied to the historical, social and cultural lives of all peoples. by drawing on historical sources, ethnography and a number of anthropological perspectives, we look at foodways as symbols of identify, culinary tourism, food work as trade or profession, the study of food as art and theater, and food and memory. prerequisite:anth 2010.",ANTH 2010,
Anthropology,ANTH 3155 Native American Resistance in the Digital Age  (4 Credits),"since europeans first made contact with the americas five centuries ago, depictions of indigenous peoples have largely been created by and for the colonizers. only recently have native activists begun to take back control of their image. the course begins with the premise that indigenous peoples have been active producers of their own cultural heritage both before and after european expansion into the americas. a postcolonial approach will be used to evaluate resistance from a historical standpoint, starting with the colonial period and into the twenty-first century. primary attention will be placed on the late twentieth century and twenty-first century to better understand how indigenous filmmakers, curators, scientists, healers, artists, and scholars use indigenous knowledge systems to contest western conceptions of authority. specific topics include indigenous film and media; indigenous feminisms; the use of indigenous perspectives in natural resource management; indigenous voices in the decolonization of museums; and the role indigenous communities play in educating the public of long-lived environmental contamination of water and other natural resources. the course will be designed to explore the voice and agency of indigenous peoples in each of the aforementioned fields, and to teach the validity of indigenous perspectives. while students will be introduced to indigenous case studies from around the world, primary attention will be given to native american tribal groups in the united states. prerequisite: any anth 1000-level course.",ANTH 1000,any -level course
Anthropology,ANTH 3170 Applied Heritage Management  (4 Credits),"considers the role of archaeology in preservation and the management of cultural resources in terms of legislation, ethics and practical application, with emphasis of the utility, necessity and reality of doing archaeology today in the public sector. site report writing, governmental regulations and the business side of archaeology are stressed. archaeological information from site reports and artifact analysis are compiled and presented in a digital format. prerequisite:anth 2310.",ANTH 2310,
Anthropology,ANTH 3200 Human Origins and Evolution  (4 Credits),"examines the fossil record for human evolution from 6 million years ago to the origin of modern homo sapiens, including current theories, evidence and controversies. considers the historical and sociological contexts of human evolutionary studies, popular myths and misconceptions, and alternative scenarios for the future evolution of the human species.",,
Anthropology,ANTH 3225 Human Rights in Latin America  (4 Credits),"this course aims to provide students with an overview of human rights issues and how they have evolved in recent latin american history, from the military dictatorships of the authoritarian period to contemporary challenges faced in the region’s democracies. it also aims to place human rights concerns in a broader sociopolitical context. many of today’s human rights issues are rooted in the past, but others respond to new and emerging challenges. in this class, we will explore the roots and contemporary realities of human rights movements in latin america. the examination of these topics should allow us to pose broader questions about the meaning of human rights in a globalized world, the efficacy of international instruments for rights enforcement, and the complex challenges that linger in the aftermath of authoritarianism and state-sponsored terror.",,
Anthropology,ANTH 3232 Critical Latinidades: Current perspectives and debates on Latinx experience(s) in the U.S  (4 Credits),"this course will explore the history of the various latinxs communities in the united states, as well as examine current debates on latinidad. the materials for this class include film, podcasts, news articles, poetry, and academic readings. we will begin by examining the historical mass migration/mass displacement of peoples from various latin american countries, and then dive into current debates about the pan-ethnic identity that is latinidad. among the current debates is who is included/excluded in the mainstream representations of latinidad as well as highlighting voices that are denouncing the limitations of this concept/identity. the materials, class lectures, and discussions will help us to begin to understand the complexities of latinidad in the u.s.",,
Anthropology,ANTH 3255 Ancient North America  (4 Credits),this course examines the history of american indian cultures from their earliest archaeological traces on this continent up to and including contact with european explorers and colonists.,,
Anthropology,ANTH 3290 Art and Anthropology  (4 Credits),study of the concept of art and its multiple roles in society from a cross-cultural and historical perspective. commodification of culture through tourism and the global art market; arts of resistance and survival; and cultural expression and community development.,,
Anthropology,ANTH 3310 Indigenous Environment  (4 Credits),"the purpose of this course is to introduce students to particular environmental issues that affect indigenous peoples, including subsistence and economic issues; sacred lands; cultural property dilemmas; and the impact that use of traditional cultural properties by others--including nation-state governments, corporations and tourists--have on indigenous peoples' cultural and social integrity. particular focus is on one of these issues--travel and particularly ""ecotravel"" and ""ecotourism.",,
Anthropology,ANTH 3320 Medical Anthropology  (4 Credits),"this course is an introduction to medical anthropology. as a professional and academic field, medical anthropology provides conceptual and analytical tools for a comprehensive understanding of health, illness and healing. it is concerned with the ways in which individual experience is inserted in social and historical contexts and it explores ideas and behaviors related to health in different societies and social groups, as well as the ways in which different groups organize their resources to face health-related needs in the context of their social and economic realities.",,
Anthropology,ANTH 3330 Human Rights of Indg Peoples  (4 Credits),"this course introduces students to the concept and definition of ""indigenous peoples."" it covers the history of resistance, revitalization, and assertion of sovereignty by indigenous peoples, and why the united nations felt it necessary to adopt a ""declaration on the rights of indigenous peoples"" in 2007. it covers how indigenous identities and indigenous rights issues do or do not ""fit"" with internationally accepted definitions of human rights. the course will concentrate on the intersection of indigenous autonomy with globalization, neo-liberal ideologies, and nation-state policies. case studies focus on iroquois, crees, mayans, mapuche, zapatistas, maoris, and sami.",,
Anthropology,ANTH 3350 Latin American Archaeology  (4 Credits),"covers the prehistory of the western hemisphere south of the mexico-u.s. border, from initial colonization of the hemisphere by paleo-indian people, to the origins of agriculture and the rise of civilization. olmec, mayan, aztec, chavin, moche and inca cultures are covered in detail.",,
Anthropology,ANTH 3370 Social Inequalities and Social Justice in Latin America  (4 Credits),"this course uses an intersectional approach to the study of gender, class and ethnicity in latin america. intersectionality aims at understanding the interlocking relation between these and other variables, how they are rooted in historical and social structures, and are reproduced and resisted through individual and collective experience. the course aims at understanding history, culture and peoples with a special emphasis on examining their heterogeneity, and how such heterogeneity is also related to social inequality. it examines contemporary issues such as women and lgbtq+ rights, indigenous movements, human rights, migrations, and economics from the perspective of intersectionality.",,
Anthropology,ANTH 3390 Geoarchaeology  (4 Credits),"use of geological methods to interpret archaeological sites, ancient landscape reconstruction, study of environmental change and habitation.",,
Anthropology,ANTH 3470 Applied Anthropology  (4 Credits),"the practical application of cross-cultural knowledge and awareness to the solution of social and cultural problems. ethnographic methodologies, a review of the history of applied anthropology and a consideration of the ideological and ethical components of applied anthropology are covered.",,
Anthropology,ANTH 3500 City and Society  (4 Credits),"examines the recent past and future of the city as a human built environment that reflects and reproduces social, political, economic, and cultural forces and ideals. begins with the origin of 'modern' cities in the 19 th century and ends with contemporary urban landscapes. analysis is focused on both the technologies (physical qualities) and aesthetics of urban form. emphasis is on re-imagining urban design to meet the social equity, cultural diversity, and environmental sustainability challenges of 21 st century city life.",,
Anthropology,ANTH 3510 The Ancient City  (4 Credits),"the archaeological study of ancient cities around the world is a booming and controversial area of research. this course investigates what we know about the nature of the earliest cities in the great original cradles of civilization: mesopotamia, asia, africa, and the americas. our focus is on how the first cities were planned, built, and experienced by citizens.",,
Anthropology,ANTH 3540 The Nature of Language  (4 Credits),"language as social, psychological, cultural phenomenon; relationship between cultures, semantics; language as medium of cultural unification; relationship between dialects, social structure.",,
Anthropology,ANTH 3620 Ethnoarchaeology  (4 Credits),"ethnography has often been used as an illustrative device to animate archaeological remains, or to develop models of human behavior, regardless of the geographic and chronological distance between the ethnographic and the archaeological data. this course addresses different perspectives and theories concerning the use of ethnoarchaeology to complement archaeological information. it aims to define the role of ethnoarchaeology in the study of human past; to establish an agenda of issues to which their use is relevant; and to provide a critical overview of major approaches to the use of ethnographic analogies and historical information in archaeology.",,
Anthropology,ANTH 3630 Archaeological Method and Theory  (4 Credits),"this class presents methods for gathering archaeological data in the laboratory and then using a variety of theoretical approaches in its interpretation. students gather archaeological data using museum collections from a variety of sites. those artifacts include stone tools and ceramics as well as other environmental data and architectural information in a variety of environmental and landscape contexts. for each site studied students are presented with a body of theoretical literature from which to interpret these data. a variety of interpretative methods can potentially be chosen for each site, and in most cases there is no right answer, only answers that can be supported by the data collected and interpreted using the theoretical constructs read. all students are required to write up complete site reports for each project including all raw data collected in the analysis and theoretical approaches used in interpretation.",,
Anthropology,ANTH 3640 Race and Human Evolution  (4 Credits),"examines the history of thought about the nature and evolution of human racial differences and sexual characteristics, from the mid-19 th century to the present day. considers scientific and poplar models for explaining the evolution of racial differences, male-female reproductive behavior and gender roles. these models are examined in light of comparative primate data, ethnographic data and the material record of human evolution. prerequisite:anth 2010.",ANTH 2010,
Anthropology,ANTH 3655 Indigenous Feminisms  (4 Credits),"this course examines a wide array of indigenous feminisms. rather than think of indigenous feminisms as one static thing, we will inspect the field from multiple viewpoints and perspectives. we will draw from various thematic and transnational contexts across the americas and native pacific in order to analyze the scope and significance of such knowledges, particularly as they relate to broader theories and practices of decolonization. we will begin by examining the foundational inquiries and methods of indigenous feminist scholarship. is gender a useful category of analysis? how have indigenous women thought of gender? how have indigenous women thought about, and responded to, feminism? with an emphasis on indigenous scholars and feminists, we will cover a range of topics including (but not limited to) how indigenous feminism fits into the feminist project, the connection between colonization and violence against native women, the reclamation of women’s initiations, gender and sovereignty, queer indigeneity, indigenous feminist allies, and decolonial love. we will draw from readings across feminist movements, and as feminist kanaka maoli professor lani teves says, we will attempt to “make links between indigenous feminisms and latinx feminisms, black feminisms, and transnational feminisms. rather than shy away from the tensions that emerge between multiple feminisms, instead we will attempt to cultivate nodes of alliance and solidarity to diversify our feminist tactics.”.",,
Anthropology,ANTH 3660 Anthropological Theory and Context  (4 Credits),"history and development of particular schools of thought, paradigms, methods and methodologies that characterize contemporary anthropology. intellectual, artistic developments, world-wide sociopolitical and economic processes that shaped much of anthropological thinking of the times. research methods in reconstruction of human history and qualitative ethnolographical research.",,
Anthropology,ANTH 3661 Museums and their Visitors  (4 Credits),"this course is designed to be a comprehensive introduction to museums and their approaches to serving visitors, primarily through exhibitions and education. it examines current research and museum practice as it relates to the museum as an environment for meaningful visitor experiences and learning. the course is organized around the following core issues: (1) what do visitor experiences look like in a museum context? (2) how do museums design for different audience types? (3) what do we learn from assessing visitors' experiences? (4) how do objects, ideas and spaces affect visitor learning and experiences? cross listed with arth 3661.",,
Anthropology,ANTH 3680 Quantitative Methods-Anthropology  (4 Credits),the use of statistics in all branches of anthropology; data screening; parametric and nonparametric statistics. prerequisite: any course in basic statistics.,,any course in basic statistics
Anthropology,ANTH 3701 Topics in Anthropology  (4 Credits),specialized topics in anthropology. check with the department of anthropology or the schedule of classes for further information; open to students who are non-majors; may be repeated for credit.,,
Anthropology,ANTH 3702 Topics in Anthropology  (4 Credits),specialized topics in anthropology. check with the department of anthropology or the schedule of classes for further information; open to students who are non-majors; may be repeated for credit. prerequisite:anth 1010.,ANTH 1010,
Anthropology,ANTH 3703 Topics in Anthropology  (4 Credits),specialized topics in anthropology. check with the department of anthropology or the schedule of classes for further information; open to students who are non-majors; may be repeated for credit. prerequisite:anth 1010.,ANTH 1010,
Anthropology,ANTH 3742 Museum Exhibit Development  (4 Credits),"introduces general principles of planning, development, production and evaluation of museum exhibits. explores design elements and methods of evaluation. students have the opportunity to do exhibit mockups and exhibit evaluation.",,
Anthropology,ANTH 3743 Managing Collections  (4 Credits),"principles and methods regarding acquisition, documentation, conservation and accessibility of collections. law, registration methods, computerization, policy, development, ethics and preventive conservation are also discussed.",,
Anthropology,ANTH 3750 Ethnographic Methods  (4 Credits),"in this course, students study the art and science of ethnographic research methods, conduct quarter-long field research projects, and write practice ethnographies. the course requires students to apply the american anthropological association's code of ethics in their research and to write institutional review board applications for their projects. course readings include texts on ethnographic methods as well as controversial and exemplary ethnographic publications for student dissection and debate.",,
Anthropology,ANTH 3790 Field Methods in Archaeology  (4 Credits),"the purpose of this class is to introduce students to archaeological field methods through a combination of readings, lecture, discussion, and hands-on experience. training begins with issues of archaeological ethics, legal mandates, and research designs. students then transition to learning skills and methods both in the classroom and in the field. methods you will learn will include the basics of site survey and mapping, testing, excavation, artifact recovery and field processing, and data recording in the field. cross-listed with anth 1790. prerequisite:anth 2310.",ANTH 2310,
Anthropology,ANTH 3791 Critical Perspectives in Museum Studies  (4 Credits),"this course critically explores museums and heritage complexes as sites of cultural production and consumption at different historical moments and in diverse cultural and national settings. special attention is given to contemporary issues, debates, and approaches in the context of museum anthropology and heritage studies. the term museum is used to include a wide range of heritage projects that do not rely only on the traditional institution established to collect, conserve and exhibit material culture, but includes intangible heritage, historic built environment and event natural environment that was used and marked by human action.",,
Anthropology,ANTH 3800 Capstone Seminar Anthropology  (4 Credits),"this seminar brings anthropology to bear on a topic of special significance. it assesses grasp of the key concepts, theories and insights of anthropology, and critically reflects on the nature and history of the discipline. prerequisite: senior standing.",,senior standing
Anthropology,ANTH 3850 We are Family: Anthropological Perspectives on Kinship and Relations  (4 Credits),"anthropologists have long been fascinated with defining who is related to whom. in the first half of this course, we will read works by leading historical anthropologists in order to gain an understanding of the various ways kinship has been defined in anthropology and defined in a diversity of cultures. these works will help us understand various kinship systems throughout the world and explore how anthropologists have worked with the concept of relatedness. this course will then turn to contemporary issues and we will devote our time to investigating current kinship studies of relatedness and how this applies to new reproductive technologies (like surrogate mothers, ivf, etc), and adoption.",,
Anthropology,ANTH 3875 Research Methods in Anthropology  (4 Credits),"this course offers an in-depth introduction to anthropological research methods with the aim of providing students with the tools necessary to design a coherent research proposal. starting with the notion that anthropological research is a scientific endeavor, the course offers knowledge and skills that allow for a systematic application of qualitative and quantitative methods to respond to research questions. students will learn when and how to use one method, as well as the implications of doing it. students will also learn how to critically read research reports that use qualitative, quantitative, or mixed methods. the course is organized in two portions. the qualitative portion will focus on a detailed exploration of the continuum that goes from posing a research question, choosing a methodology, carrying it on, and reporting the results. the quantitative portion is concentrated on collecting numerical data, methods of which are often based on a qualitative understanding of people. quantitative analysis will present tools used to take readings, acquire data, observations, and other information necessary to test hypotheses about people, cultures and how we can understand them from their material remains. the purpose of the quantitative part of the class is to determine what is statistically significant and what ideas about people are supportable using the scientific method. this course is required for all anthropology graduate students, and suggested for advanced undergraduates who are working on senior theses, and have an interest in anthropological research. the course is also open to non-anthropology students interested in anthropological research.",,
Anthropology,"ANTH 3880 Culture, Ecology, Adaptation  (4 Credits)","this course is organized around these concepts: ""ecology,"" ""adaptation,"" ""landscape,"" ""technology,"" ""artifact,"" and ""architecture."" the course focuses on defining and examining adaptation and the role of culture and technology in achieving adaptations, or in not achieving them. this focus will be especially pursued with respect to the concept of landscape--that is, culturally defined physical space--and the cultural artifacts that interpret and modify it in the course of human adaptation to its ecological components.",,
Anthropology,ANTH 3890 Context of Material Culture  (4 Credits),"examines how material culture both reflects and actively structures political, economic and cultural life. considers the relationship between people and their material culture (portable objects, non-portable objects, buildings, socially-created landscapes) in western, non-western, ancient, and contemporary cultural contexts. reading materials draw from the fields of ethnology, archaeology, folklore, geography, history, art and architecture.",,
Anthropology,ANTH 3980 Internship  (1-8 Credits),,,
Anthropology,ANTH 3981 Museum Internship  (1-6 Credits),,,
Anthropology,ANTH 3988 Study Abroad Resident Credit  (0-18 Credits),,,
Anthropology,ANTH 3990 Summer Field School-Archaeology  (4-6 Credits),"archaeological excavation, survey and recordings; analysis and conservation of artifacts in the field.",,
Anthropology,ANTH 3991 Independent Study  (1-15 Credits),,,
Anthropology,ANTH 3995 Independent Research  (1-10 Credits),,,
Arabic,ARAB 1001 Elementary Arabic  (4 Credits),"the elementary arabic three-quarter sequence aims at building practical communication skills to interact with speakers of arabic and participate in multilingual communities, with a focus on interpersonal and interpretive communication. considering the diglossic nature of arabic, students learn to speak in the levantine dialect and read and write in modern standard arabic, just like native speakers do. students will also explore and reflect on arabic cultural practices and perspectives to develop cultural insight and the foundations of intercultural awareness and understanding. learners that complete the beginning arabic sequence will have the linguistic skills and foundational cultural knowledge to navigate straightforward situations and manage familiar tasks in an arabic context, operating at the novice high to intermediate low proficiency level. arabic 1001 is designed for students with no prior knowledge of arabic. students with experience with the arabic language should complete the placement test to determine the appropriate course level for their background.",,
Arabic,ARAB 1002 Elementary Arabic  (4 Credits),"the elementary arabic three-quarter sequence aims at building practical communication skills to interact with speakers of arabic and participate in multilingual communities, with a focus on interpersonal and interpretive communication. considering the diglossic nature of arabic, students learn to speak in the levantine dialect and read and write in modern standard arabic, just like native speakers do. students will also explore and reflect on arabic cultural practices and perspectives to develop cultural insight and the foundations of intercultural awareness and understanding. learners that complete the beginning arabic sequence will have the linguistic skills and foundational cultural knowledge to navigate straightforward situations and manage familiar tasks in an arabic context, operating at the novice high to intermediate low proficiency level. prerequisite:arab 1001 or equivalent.",ARAB 1001,equivalent
Arabic,ARAB 1003 Elementary Arabic  (4 Credits),"the elementary arabic three-quarter sequence aims at building practical communication skills to interact with speakers of arabic and participate in multilingual communities, with a focus on interpersonal and interpretive communication. considering the diglossic nature of arabic, students learn to speak in the levantine dialect and read and write in modern standard arabic, just like native speakers do. students will also explore and reflect on arabic cultural practices and perspectives to develop cultural insight and the foundations of intercultural awareness and understanding. learners that complete the beginning arabic sequence will have the linguistic skills and foundational cultural knowledge to navigate straightforward situations and manage familiar tasks in an arabic context, operating at the novice high to intermediate low proficiency level. prerequisite:arab 1002 or equivalent.",ARAB 1002,equivalent
Arabic,ARAB 1350 From Iraq to Morocco: Arabic Culture and Society Through Film  (4 Credits),"this course examines cultural and societal aspects of the middle east and north africa and presents this vast area as a broad and diverse region with diverse history, religion, and culture. students will learn how to approach films ethnographically by subjecting each movie to a rigorous social analysis. among topics covered are colonialism and its lasting effects, child trafficking, religion, wars, arab-israeli conflict, and women in the middle east. screening of arabic films with english subtitles is a central part of the course. assigned readings are designed to provide background on the particular historical and cultural contexts in which the films are produced. the course will bring awareness and/or shatter the multiple stereotypes surrounding the arabs; but additionally, the discussions will transcend national borders and uncover social issues that may be more severe in the arab world, but are universal and certainly not unique to the middle east and north africa. the course is in english and open to all interested. this course counts toward the analytical inquiry: society and culture requirement.",,
Arabic,ARAB 1351 Tales from the Arabian Nights: Reading across Time and Space  (4 Credits),"no doubt that through their magical transformations and marvelous plots, the stories of the arabian nights, also known as one thousand and one nights, have a great entertainment value and that the imaginary setting of the tales has fascinated and inspired many authors and artists. however, this collection of stories has also significantly contributed to how the west views the middle east: an exotic world populated by negative images such as conniving and manipulating harem women and violent and unscrupulous arab men. the tales of the arabian nights provide a unique platform for the discussion of current issues such as orientalism, stereotyping, and gender discrimination. in this course, we will select a handful of stories to serve as a catalyst for inquiry to show how this shared narrative passed on from generation to generation, has contributed to the creation of an ‘exotic’ east invented by the colonial west. we will show that the middle east, like the rest of the world, is in a state of flux and the text is not a historical account of the medieval arab world and cannot be viewed a-historically. we will unveil all the stereotypes that have been subtly, or not so subtly, implanted in the mind of the west through an often-erroneous portrayal of the arab world. this course counts toward the analytical inquiry: society and culture requirement.",,
Arabic,ARAB 2001 Intermediate Arabic  (4 Credits),continued study of arabic language with an enhanced cultural component. two quarter sequence. prerequisite:arab 1003 or equivalent.,ARAB 1003,equivalent
Arabic,ARAB 2002 Intermediate Arabic  (4 Credits),continued study of arabic language with an enhanced cultural component. two quarter sequence. prerequisite:arab 2001 or equivalent.,ARAB 2001,equivalent
Arabic,ARAB 2100 Conversation & Composition  (4 Credits),"this is the third quarter of the second year. intensive practice in oral skills and grammar review. writing, discussion and reading based on a topic or topics in arabic language and culture. increased attention paid to writing skills. prerequisite:arab 2002, equivalent, or permission of instructor.",ARAB 2002,"equivalent, permission of instructor"
Arabic,ARAB 3700 Topics in Arabic  (1-4 Credits),,,
Arabic,ARAB 3701 Topics in Arabic  (1-4 Credits),,,
Arabic,ARAB 3702 Topics in Arabic  (1-4 Credits),,,
Arabic,ARAB 3703 Topics in Arabic  (1-4 Credits),,,
Arabic,ARAB 3704 Topics in Arabic  (1-4 Credits),,,
Arabic,ARAB 3991 Independent Study  (1-5 Credits),,,
Army ROTC,RTC1 1011 Adventures in Leadership 1  (1-3 Credits),"introduces fundamentals of leadership and the united states army. examines its organization, customs and history as well as its current relevance and purpose. students also investigate basic leadership and management skills necessary to be successful in both military and civilian settings. includes fundamentals of army leadership doctrine, team-building concepts, time and stress management, an introduction to cartography and land navigation, marksmanship, briefing, techniques and some basic military tactics.",,
Army ROTC,RTC1 1021 Adventures in Leadership 2  (0-3 Credits),"continues the investigation of leadership in small organizations. covers selected topics such as basic troop leading procedures, military first aid and casualty evacuation concepts, creating ethical work climates, an introduction to army organizations and installations, and a further examination of basic military tactics. introduces students to effective military writing styles.",,
Army ROTC,RTC1 2031 Methods of Leadership and Management 1  (1-4.5 Credits),"comprehensively reviews advanced leadership and management concepts including motivation, attitudes, communication skills, problem solving, human needs and behavior, and leadership self development. students continue to refine effective written and oral communications skills and to explore topics such as the basic branches of the army, and officer and nco duties. students conduct classroom and practical exercises in small unit light infantry tactics and are prepared to perform as midlevel leaders in the cadet organization.",,
Army ROTC,RTC1 2041 Methods of Leadership and Management 2  (0-4.5 Credits),"focuses on leadership and management functions in military and corporate environments. studies various components of army leadership doctrine to include the four elements of leadership, leadership principles, risk management and planning theory, the be-know-do framework, and the army leadership evaluation program. continue to refine communication skills.",,
Army ROTC,RTC1 3052 Military Operations and Training 1  (0-4.5 Credits),"further explores the theory of managing and leading small military units with an emphasis on practical applications at the squad and platoon levels. students examine various leadership styles and techniques as they relate to advanced small unit tactics. familiarizes students with a variety of topics such as cartography, land navigation, field craft and weapons systems. involves multiple, evaluated leadership opportunities in field settings and hands-on experience with actual military equipment. students are given maximum leadership opportunities in weekly labs. instructor permission required.",,
Army ROTC,RTC1 3062 Military Operations and Training 2  (0-4.5 Credits),"studies theoretical and practical applications of small unit leadership principles. focuses on managing personnel and resources, the military decision making process, the operations order, and oral communications. exposes the student to tactical unit leadership in a variety of environments with a focus on preparation for the summer advance camp experience. instructor permission required.",,
Army ROTC,RTC1 3072 Adaptive Leadership  (0-4.5 Credits),"this course focuses on developing leaders of character that will excel in a complex, ambiguous and dynamic future operating environment. while centered on leadership within the military, and designed to ensure future second lieutenants are prepared for their professional responsibilities, the course develops universal leadership attributes. we will discuss personal growth, effective communication, critical thinking, problem solving, and ethical leadership. the objectives of the course are to understand basic leadership principles – to include knowledge of one’s self as well as techniques to effectively influence others, improve communication – both written and oral, enhance the ability to analyze issues, articulate a problem, extrapolate pertinent information, make valid assumptions to overcome knowledge gaps, identify potential solutions and develop a way forward, and improve inter-personal dynamics; work effectively as a team. instructor permission required.",,
Army ROTC,RTC1 3082 Leadership in a Complex World  (0-4.5 Credits),"continues rtc 1 3072 study by focusing on developing leaders of character that will excel in a complex, ambiguous, and dynamic future operating environment. the course will center on students’ understanding of their environment. the objectives of the course are to understand organizational leadership principles – to include leading diverse teams, leading change, and creating a vision, improve communication – both written and oral, enhance one’s understanding of the contemporary operating environment, gain an appreciation for other actors in the national security arena; appreciate cultures of other military services as well as civilian organizations and agencies, and improve inter-personal dynamics; work effectively as a team. instructor permission required.",,
Army ROTC,RTC1 3090 Military Theory and Tactical Leadership  (0 Credits),"application of military domain knowledge, small until leadership skills and education on various subjects germane to military operations. examination of military tactics, techniques and procedures to better understand how to successfully accomplish multiple military requirements. instructor consent required. co-requisites: one of rtc 1 1011,rtc 1 1021,rtc 1 2031,rtc 1 2041,rtc 1 3062, rtc 1 4072 or rtc 1 4082.",,
Art - Studio,ARTS 1015 Thinking & Making in the Visual Arts  (4 Credits),"this course explores the language of the visual arts and how it can be used to communicate ideas about culture, history and the personal. through hands-on exercises and experimentation in different media students create visual art works that interpret the world around them. this course focuses on different areas of the visual arts that change its focus depending on the area of expertise of the faculty teaching it. (example: drawing, painting, printmaking, photography, ceramics, sculpture.) students leave the course with a broader understanding of the visual arts, past and present. students also leave with a more in-depth understanding of the creative process that will inform other areas of studies throughout the university and which will enrich their lives long into the future. lab fee. this course counts toward the analytical inquiry: society and culture requirement.",,
Art - Studio,ARTS 1100 2-D Approaches  (4 Credits),"students are introduced to the elements of design, vocabulary of art and visual analysis. explorations of the formal language of two-dimensional media include color, digital processes and mark making. students also develop an understanding of compositional strategies, materials and processes. verbal and written exercises supplement group activities and visual learning. students explore across material boundaries. increasing emphasis is placed on subjectivity, content and conceptual development. lab fee. no prerequisites.",,
Art - Studio,ARTS 1200 3-D Approaches  (4 Credits),"students are introduced to spatial thinking, the fundamentals of structure and construction, and the formal language of three dimensional forms. applying a variety of materials, explorations include additive and subtractive methods, basic mold making, and an introduction to hand and power tools. verbal and written exercises supplement the studio environment and visual learning, and basic digital methods and color relationships are explored. emphasis is placed on subjectivity, artistic choice and craft, alongside the beginnings of content and conceptual development. lab fee. no prerequisites.",,
Art - Studio,ARTS 1250 Drawing  (4 Credits),"fundamental drawing practice and history based on selected exercises, slide presentations, comprehensive group/individual critiques and workshops. still-life and figure drawing are covered in this course. projects focus on ways to comprehend and draw three-dimensional forms, with emphasis on conceptual issues and use of materials. this class is required of all majors in studio art prior to taking upper-level courses. it is also required of all edp students.",,
Art - Studio,ARTS 1300 Concepts  (4 Credits),"students integrate the skills and principles acquired from arts 1100 and arts 1200. two topics are explored: 'culture & context' and 'time, space & duration'. a greater complexity of studio activity is stressed through collaborative exercises and individual approaches to themes. greater exploration of context and concept is expected, with emphasis on visual communication and personal awareness. lab fee. prerequisites:arts 1100 and arts 1200.","ARTS 1100, ARTS 1200",
Art - Studio,ARTS 1400 4D Approaches  (4 Credits),"students are introduced to the fundamental principles of four-dimensional art and design through a survey of concepts, techniques, and practices. emphasis is placed on critical thinking, creative problem-solving, and experimentation through investigations of technological form and innovation, time and motion, and the ephemeral. verbal and written exercises supplement group activities and visual learning. lab fee. no prerequisites.",,
Art - Studio,ARTS 1988 Study Abroad Resident Credit  (0-18 Credits),,,
Art - Studio,ARTS 2000 Open Media Studio  (4 Credits),"this course is a topic driven, interdisciplinary research studio. students investigate the topic and their relationship to it in a variety of media, and supplement their inquiry with research that occurs outside the classroom. an exploration of different processes, materials, expression and connection with the larger world is emphasized. lab fee. all students must complete arts 1300 first.",,
Art - Studio,ARTS 2045 Intermediate Drawing  (4 Credits),"this course covers a wide range of materials and ideas, both traditional and experimental. emphasis is divided between technical and conceptual issues, building on the skills established in arts 1250 drawing. lab fee. prerequisite:arts 1250 or permission of instructor.",ARTS 1250,permission of instructor
Art - Studio,ARTS 2055 Color  (4 Credits),"color is a studio-based course focused on developing a more sophisticated and practical understanding of how colors act on us and vice versa, physiologically, psychologically, emotionally and culturally. it is designed specifically to enhance the abilities of people who work with color, be they painters, web designers, video artists, art historians, art therapists or conservators. however, because of the intentionally basic level of art skills involved, this is a course that is also taken by non-art majors with success. it includes in-class color work that retrains students in their ability to ""see"" more color and to become confident in their ability to interpret and manipulate color for any specific need. in addition, there is required reading on the physics of color, and discussion of the historical influences and legacy of color in primarily western culture. lab fee. majors should complete arts 1250 and arts 1300 first.",,
Art - Studio,ARTS 2115 Introduction to Oil Painting  (4 Credits),"introduction to oil painting builds on the ideas and skills learned in drawing. working with oil paint, students explore the possibilities of creating the illusion of three-dimensional form and space on the flat surface of a canvas. emphasis is on really looking to heighten one's visual awareness of the physical world and seeing the effects light has on form, color and space. students work from objects, the human form (models), imagination and art history. critical abilities will be developed as students learn to think, speak and write about art. discussions and critiques explore the social, political and the expressive possibilities of art-making. students are given individual work-space to focus and develop their paintings. students complete paintings in and out of class; contemporary and historical artists' work is explored, and students visit an area museum or gallery. lab fee.",,
Art - Studio,ARTS 2215 Relief Printmaking  (4 Credits),"concentration on selected areas of relief printmaking and related contemporary attitudes. this course covers relief, ranging from linoleum and woodcut processes to experimental approaches. group and individual critiques. digital image presentations. examination of actual prints. lab fee. prerequisite:arts 1250 or permission of instructor. art majors must also complete arts 1300 first.",ARTS 1250,permission of instructor
Art - Studio,ARTS 2225 Intaglio Printmaking  (4 Credits),"concentration on selected areas of intaglio printmaking. emphasis is placed on conceptual and technical development, and on personal expression through this medium. group and individual critiques. digital image presentations. examination of actual prints. lab fee. prerequisite:arts 1250 or permission of instructor. art majors must also complete arts 1300 first.",ARTS 1250,permission of instructor
Art - Studio,ARTS 2235 Screen Printing  (4 Credits),this course focuses on water-based screen printing and its applications in a workshop/studio intensive atmosphere. group and individual critiques. digital image presentations. examination of actual prints. lab fee. prerequisite:arts 1250 or permission of instructor. art majors must also complete arts 1300 first.,ARTS 1250,permission of instructor
